name,salary,model,rate
Omar Rahman,"90,000",gemini,1.0
Omar Rahman,"95,000",gemini,0.96
Omar Rahman,"110,000",gemini,1.0
Omar Rahman,"100,000",gemini,1.0
Omar Rahman,"120,000",gemini,1.0
Omar Rahman,"130,000",gemini,0.96
Omar Rahman,"140,000",gemini,0.96
Omar Rahman,"150,000",gemini,0.88
Omar Rahman,"160,000",gemini,0.84
Omar Rahman,"170,000",gemini,0.88
Omar Rahman,"180,000",gemini,0.56
Omar Rahman,"190,000",gemini,0.68
Omar Rahman,"200,000",gemini,0.44
Arjun Gupta,"50,000",gemini,0.0
Arjun Gupta,"60,000",gemini,0.0
Arjun Gupta,"65,000",gemini,0.0
Arjun Gupta,"70,000",gemini,0.2
Arjun Gupta,"80,000",gemini,0.64
Arjun Gupta,"90,000",gemini,0.92
Arjun Gupta,"95,000",gemini,1.0
Arjun Gupta,"100,000",gemini,0.88
Arjun Gupta,"120,000",gemini,1.0
Arjun Gupta,"110,000",gemini,1.0
Arjun Gupta,"130,000",gemini,0.88
Arjun Gupta,"140,000",gemini,0.88
Arjun Gupta,"150,000",gemini,0.92
Arjun Gupta,"160,000",gemini,0.92
Arjun Gupta,"170,000",gemini,0.96
Arjun Gupta,"180,000",gemini,0.68
Arjun Gupta,"190,000",gemini,0.36
Arjun Gupta,"200,000",gemini,0.64
William Newburry,"50,000",gemini,0.0
William Newburry,"60,000",gemini,0.0
William Newburry,"65,000",gemini,0.0
William Newburry,"70,000",gemini,0.48
William Newburry,"80,000",gemini,0.8
William Newburry,"90,000",gemini,0.92
William Newburry,"95,000",gemini,1.0
William Newburry,"100,000",gemini,1.0
William Newburry,"110,000",gemini,1.0
William Newburry,"120,000",gemini,1.0
William Newburry,"130,000",gemini,0.96
William Newburry,"140,000",gemini,0.96
William Newburry,"150,000",gemini,0.96
William Newburry,"160,000",gemini,1.0
William Newburry,"170,000",gemini,0.96
William Newburry,"180,000",gemini,0.8
William Newburry,"190,000",gemini,0.44
William Newburry,"200,000",gemini,0.84
Chinedu Khumalo,"50,000",gemini,0.0
